fullCity,meanNDVI,ls_Mortality_Rate,ls_Stroke_Rate,ls_Dementia_Rate,popOver20_2023,popOver35_2023,popOver55_2023,geoid,city,state,countyGEOID,standardDevNDVI
"Clarksville city, Tennessee",0.7562236185391593,290.1763345867343,68.9279768441524,187.86540540951208,125312,74459,25373,NA,Clarksville city,Tennessee,47125,0.196943657065249
"Arlington city, Texas",0.5787622245907635,202.16154386648697,44.39846129397392,121.9998300151716,284709,201593,74918,NA,Arlington city,Texas,48439,0.23883203256970428
"Frisco city, Texas",0.5559250000163543,135.40091381760828,42.15584823866596,115.7180461482021,155382,136851,33762,NA,Frisco city,Texas,48085,0.2247037052119159
"Garland city, Texas",0.6512531649409153,229.6002790100646,51.60380250175238,142.26616380441337,175791,133768,53013,NA,Garland city,Texas,48113,0.21655167889280896
"Irving city, Texas",0.5476346144394374,182.40970226876294,41.34494405601439,113.44967530549525,175009,114242,35158,NA,Irving city,Texas,48113,0.2576887227799475
"Mesquite city, Texas",0.6953814365535487,250.31146794570412,56.05535675682869,154.8500880176188,116093,91458,34092,NA,Mesquite city,Texas,48113,0.2079689989486896
"Plano city, Texas",0.5557127608613085,135.33183845452947,42.135067284318,115.65989458115584,206358,174255,64853,NA,Plano city,Texas,48085,0.2252819160578101
"Newport News city, Virginia",0.6947643618474131,345.074958764885,56.534222756959664,166.3384265011735,119009,89377,36726,NA,Newport News city,Virginia,51700,0.2423789512848029
"Norfolk city, Virginia",0.5505128459229753,240.9945700964527,42.02881108514051,122.85233189593946,160198,99571,41989,NA,Norfolk city,Virginia,51710,0.28712576273215895
"Richmond city, Virginia",0.7069138011989492,305.80156886715747,57.78034972653719,170.09936567641972,158978,118667,48984,NA,Richmond city,Virginia,51760,0.2299868576135353
"Seattle city, Washington",0.6301821239556866,205.39171102792307,45.78871918879934,144.36360430245813,558979,332072,110415,NA,Seattle city,Washington,53033,0.24903893153865375
"Tacoma city, Washington",0.5910617924394032,250.48888043002313,42.195561378736244,132.79916570781444,167691,120068,47426,NA,Tacoma city,Washington,53053,0.25299695727925653
"Birmingham city, Alabama",0.857541754871565,547.758957881506,88.09674588441669,220.15175303499228,204632,147234,62191,NA,Birmingham city,Alabama,01073,0.21573840668285385
"Huntsville city, Alabama",0.7266401465406507,356.74192435425215,71.63831556555348,177.94468557268664,195351,142960,60804,NA,Huntsville city,Alabama,01089,0.23510517352411056
"Mobile city, Alabama",0.7689108330201209,492.41904683581936,76.89340000002184,191.36924995837606,142782,103237,45911,NA,Mobile city,Alabama,01097,0.22472782026494983
"Montgomery city, Alabama",0.7119291986133603,397.5913025313747,69.82263885095053,173.31779694966752,132316,88740,38094,NA,Montgomery city,Alabama,01101,0.1909144603599553
"Anchorage municipality, Alaska",0.5710176745062523,213.57725112261065,41.23250343526923,106.30400976791351,191960,124929,49026,NA,Anchorage municipality,Alaska,02020,0.3694670478389708
"Chandler city, Arizona",0.40920117412469464,143.91113196150965,25.690147493436854,86.7113103176257,193521,147910,53434,NA,Chandler city,Arizona,04013,0.2289992298592791
"Gilbert town, Arizona",0.4528148140868529,165.7117056229907,29.47880131930741,99.69275790662094,172492,144209,46460,NA,Gilbert town,Arizona,04013,0.23637208765495743
"Glendale city, Arizona",0.3479201274826529,113.92785592959655,20.437123746306803,68.79360915070212,195619,147203,56296,NA,Glendale city,Arizona,04013,0.21935295420150452
"Mesa city, Arizona",0.37776795890461007,128.43796555017587,22.98547978597836,77.47403301703123,345688,248335,103120,NA,Mesa city,Arizona,04013,0.2069122115744962
"Peoria city, Arizona",0.3227998050466889,101.85222730370415,18.30730568398913,61.556046692504054,139827,118193,52208,NA,Peoria city,Arizona,04013,0.20024377086246667
"Phoenix city, Arizona",0.3891231307473804,134.0047155243072,23.960045575113053,80.7995864079674,1082936,735754,270630,NA,Phoenix city,Arizona,04013,0.2034956514802019
"Scottsdale city, Arizona",0.4627244271994135,170.7194407936443,30.345498272069136,102.66926873699806,163261,143310,70967,NA,Scottsdale city,Arizona,04013,0.17895435345577584
"Surprise city, Arizona",0.35122402704682343,115.52531278498017,20.718255621744788,69.75012538733593,101163,86040,35783,NA,Surprise city,Arizona,04013,0.17987341855140981
"Tucson city, Arizona",0.3696557168318209,159.0491628822638,22.29095895117191,75.10608083505956,392754,248684,105407,NA,Tucson city,Arizona,04019,0.16904399639276765
"Little Rock city, Arkansas",0.7081835914463593,385.9379713249044,70.5169783591108,184.64646912860783,133113,94310,36809,NA,Little Rock city,Arkansas,05119,0.2045707105850376
"Bakersfield city, California",0.7314840658044304,337.0219107303635,55.84040824661457,227.5102433027526,303830,198937,72826,NA,Bakersfield city,California,06029,0.28037429574171746
"Escondido city, California",0.5035693051809692,165.55306868792536,34.647125735581184,139.709813389954,113914,81137,33590,NA,Escondido city,California,06073,0.22301402623188044
"Fresno city, California",0.47201903927946753,177.91129435963978,31.808760590187408,128.08318266474362,372747,243912,91999,NA,Fresno city,California,06019,0.2319238220526798
"Lancaster city, California",0.4685354024893586,150.0922353358203,31.496752415583106,126.80705620096441,112812,84056,34223,NA,Lancaster city,California,06037,0.223305548333653
"Los Angeles city, California",0.5151558241122327,170.73906059116,35.69520665946467,144.01100248222735,2660611,1868456,695903,NA,Los Angeles city,California,06037,0.28043847867037697
"Modesto city, California",0.5442531564341658,237.23396802094163,38.340892353390004,154.8876620778899,152853,105632,41721,NA,Modesto city,California,06099,0.2100318360509187
"Palmdale city, California",0.450167018322225,142.06471072759808,29.85616263250029,120.1032990101334,109500,88133,35451,NA,Palmdale city,California,06037,0.20218469282683327
